Hospital,Description,CPT,Charge
Los Robles Medical Center,REDUCTION MAMMAPLASTY,19318,104070.6842
Los Robles Medical Center,"LAPAROSCOPY SURGICAL, WITH VAGINAL HYSTERECTOMY, FOR UTERUS 250 GRAMS OR LESS; WITH REMOVAL OF TUBE(S) AND/OR OVARY(S)",58552,118588.375
Los Robles Medical Center,"ARTHROSCOPY, SHOULDER, SURGICAL; WITH ROTATOR CUFF REPAIR",29827,116210.125
Los Robles Medical Center,"CYSTOURETHROSCOPY, WITH INSERTION OF INDWELLING URETERAL STENT (EG, GIBBONS OR DOUBLE-J TYPE)",52332,39269.8125
Los Robles Medical Center,"ARTHROPLASTY, KNEE, CONDYLE AND PLATEAU; MEDIAL OR LATERAL COMPARTMENT",27446,151605.6
Los Robles Medical Center,"DELAYED INSERTION OF BREAST PROSTHESIS FOLLOWING MASTOPEXY, MASTECTOMY OR IN RECONSTRUCTION",19342,129179.6
Los Robles Medical Center,"LAPAROSCOPY, SURGICAL PROSTATECTOMY, RETROPUBIC RADICAL, INCLUDING NERVE SPARING",55866,133395.7143
Los Robles Medical Center,CYSTO/URETERO W/LITHOTRIPSY             ,52356,66191.07692
Los Robles Medical Center,"LAMINOTOMY (HEMILAMINECTOMY), W DECOMPRESSION OF NERVE ROOT(S), INCL PARTIAL FACETECTOMY, FORAMINOTOMY &/ EXCISION OF HERNIATED INTERVERT DISK;",63030,80158.21429
Los Robles Medical Center,"LITHOTRIPSY, EXTRACORPOREAL SHOCK WAVE",50590,36165.23077
Los Robles Medical Center,"CONTACT LASER VAPORIZATION W W/O TRANSURETHRAL RESECTION PROSTATE, INC CONTROL POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURE",52648,47418.83333
Los Robles Medical Center,"REMOVAL OF IMPLANT; DEEP (EG, BURIED WIRE, PIN, SCREW, METAL BAND, NAIL, ROD OR PLATE)",20680,62447.81818
Los Robles Medical Center,"LAPAROSCOPY, SURGICAL; WITH REMOVAL OF ADNEXAL STRUCTURES (PARTIAL OR TOTAL OOPHORECTOMY AND/OR SALPINGECTOMY)",58661,61142.18182
Los Robles Medical Center,"HYSTEROSCOPY, SURGICAL; WITH ENDOMETRIAL ABLATION (EG, ENDOMETRIAL RESECTION, ELECTROSURGICAL ABLATION, THERMOABLATION)",58563,41788.72727
Los Robles Medical Center,"CYSTOURETHROSCOPY, WITH FULGURATION (INCLUDING CRYOSURGERY OR LASER SURGERY) AND/OR RESECTION OF; MEDIUM BLADDER TUMOR(S) (2.0 TO 5.0 CM)",52235,38163.18182
Los Robles Medical Center,REVISION OF RECONSTRUCTED BREAST,19380,115641.3
Los Robles Medical Center,"HALLUX VALGUS (BUNION) CORRECTION, WITH OR WITHOUT SESAMOIDECTOMY; WITH METATARSAL OSTEOTOMY (EG, MITCHELL, CHEVRON, OR CONCENTRIC TYPE PROCEDU",28296,59430
Los Robles Medical Center,"TRANSURETHRAL ELECTROSURGICAL RESECTION PROSTATE, INC CONTROL OF POSTOPERATIVE BLEEDING, COMPLETE (VASECTOMY, MEATOTOMY, CYSTOURETHROSCOPY, URE",52601,47387.9
Los Robles Medical Center,"LAPAROSCOPY, SURGICAL; WITH FULGURATION OR EXCISION OF LESIONS OF THE OVARY, PELVIC VISCERA, OR PERITONEAL SURFACE BY ANY METHOD",58662,83508.11111
Los Robles Medical Center,"ARTHROCENTESIS, ASPIRATION AND/OR INJECTION; MAJOR JOINT OR BURSA (EG, SHOULDER, HIP, KNEE JOINT, SUBACROMIAL BURSA)",20610,19461.5
Los Robles Medical Center,"MRI, Brain, without contrast, followed by contrast",70553,
Los Robles Medical Center,Laparoscopic Cholecystectomy,47562,
Los Robles Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,45373.70588
Los Robles Medical Center,"X-Ray, Lower Back, minimum four views",72110,
Los Robles Medical Center,"X-Ray, Chest, two views",71046,
Los Robles Medical Center,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Los Robles Medical Center,"Echocardiography, Transthoracic, complete, without Doppler",93307,
Los Robles Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,
Los Robles Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,
Los Robles Medical Center,"Physical Therapy, Gait Training",97116,
Los Robles Medical Center,"Physical Therapy, Therapeutic Exercise",97110,
Los Robles Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,42332.23077
Los Robles Medical Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Los Robles Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Los Robles Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Los Robles Medical Center,"Colonoscopy, diagnostic",45378,
Los Robles Medical Center,"Colonoscopy, with biopsy",45380,
Los Robles Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,
Los Robles Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,
Los Robles Medical Center,"Endoscopy, Upper GI, with biopsy",43239,
Los Robles Medical Center,"Endoscopy, Upper GI, diagnostic",43235,
Los Robles Medical Center,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Los Robles Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,41274.85714
Los Robles Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,15152.57143
Los Robles Medical Center,Carpal Tunnel Surgery,64721,27937
Los Robles Medical Center,"Excision, Breast Lesion, without preoperative radiological marker",19120,41879
Los Robles Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,14967.21649
Los Robles Medical Center,"Endoscopy, Upper GI, with biopsy",43239,19716.33125
Los Robles Medical Center,"Physical Therapy, Evaluation",97161,517.75
Los Robles Medical Center,"Physical Therapy, Evaluation",97162,517.75
Los Robles Medical Center,"Physical Therapy, Evaluation",97163,517.75
Los Robles Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Los Robles Medical Center,"Physical Therapy, Evaluation",97161,
Los Robles Medical Center,"Physical Therapy, Evaluation",97162,
Los Robles Medical Center,"Physical Therapy, Evaluation",97163,
Los Robles Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,13749
Los Robles Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,13749
Los Robles Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Los Robles Medical Center,Carpal Tunnel Surgery,64721,
Los Robles Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Los Robles Medical Center,"Physical Therapy, Therapeutic Exercise",97110,197
Los Robles Medical Center,"Physical Therapy, Gait Training",97116,208.25
Los Robles Medical Center,"Endoscopy, Upper GI, diagnostic",43235,27489.82609
Los Robles Medical Center,"CT Scan, Head or Brain, without contrast",70450,4518.75
Los Robles Medical Center,"CT Scan, Pelvis, with contrast",72193,4878.75
Los Robles Medical Center,"MRI, Brain, without contrast, followed by contrast",70553,11479.5
Los Robles Medical Center,"Ultrasound, Abdomen, Complete",76700,1974.75
Los Robles Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1640
Los Robles Medical Center,"X-Ray, Lower Back, minimum four views",72110,2518.25
Los Robles Medical Center,"X-Ray, Chest, two views",71046,1373.25
Los Robles Medical Center,"Echocardiography, Transthoracic, complete, without Doppler",93307,4758
Los Robles Medical Center,"CT Scan, Abdomen, with contrast",74160,4878.75
Los Robles Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,74520
Los Robles Medical Center,"Colonoscopy, diagnostic",45378,12721.56667
Los Robles Medical Center,"Colonoscopy, with biopsy",45380,14861.99237
Los Robles Medical Center,"HYSTEROSCOPY, SURGICAL; WITH REMOVAL OF LEIOMYOMATA",58561,64838
Los Robles Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,648.75
Los Robles Medical Center,"Troponin, Quantitative",84484,623.5
Los Robles Medical Center,Prothrombin Time,85610,641.75
Los Robles Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,
Los Robles Medical Center,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,897
Los Robles Medical Center,Thyroid Stimulating Hormone,84443,930.75
Los Robles Medical Center,"Emergency Room Visit, Level 3 (moderate severity)",99283,2022
Los Robles Medical Center,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,5923.25
Los Robles Medical Center,"Outpatient Visit, established patient, 15 minutes",99213,135
Los Robles Medical Center,Basic Metabolic Panel,80048,1067.75
Los Robles Medical Center,"Complete Blood Count, automated",85027,930.75
Los Robles Medical Center,Comprehensive Metabolic Panel,80053,1837
Los Robles Medical Center,"Creatine Kinase (CK), (CPK), Total",82550,776.5
Los Robles Medical Center,Lipid Panel,80061,509.5
Los Robles Medical Center,Partial Thromboplastin Time,85730,641.75
Los Robles Medical Center,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,3539.75
Los Robles Medical Center,"CORRECTION, HAMMERTOE (EG, INTERPHALANGEAL FUSION, PARTIAL OR TOTAL PHALANGECTOMY)",28285,60545.125
Los Robles Medical Center,"Urinalysis, with microscopy",81001,
Los Robles Medical Center,"Urinalysis, without microscopy",81003,
Los Robles Medical Center,"Urinalysis, with microscopy",81000,
Los Robles Medical Center,"Urinalysis, without microscopy",81002,292.75
Los Robles Medical Center,"Urinalysis, without microscopy",81003,292.75
Los Robles Medical Center,"Urinalysis, with microscopy",81000,597.75
Los Robles Medical Center,"Urinalysis, with microscopy",81001,597.75
Los Robles Medical Center,"Urinalysis, without microscopy",81002,
Madera Community Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,86.47
Madera Community Hospital,"Electrocardiogram, routine, with interpretation and report",93000,
Madera Community Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,
Madera Community Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Madera Community Hospital,"X-Ray, Chest, two views",71046,170.95
Madera Community Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,344.36
Madera Community Hospital,"Ultrasound, Abdomen, Complete",76700,348.56
Madera Community Hospital,"MRI, Brain, without contrast, followed by contrast",70553,
Madera Community Hospital,"Physical Therapy, Gait Training",97116,
Madera Community Hospital,"X-Ray, Lower Back, minimum four views",72110,281.25
Madera Community Hospital,"Physical Therapy, Therapeutic Exercise",97110,
Madera Community Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Madera Community Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Madera Community Hospital,Carpal Tunnel Surgery,64721,
Madera Community Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Madera Community Hospital,"Colonoscopy, with biopsy",45380,
Madera Community Hospital,"Mammography, Screening, Bilateral",77067,428.66
Madera Community Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Madera Community Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Madera Community Hospital,"Endoscopy, Upper GI, diagnostic",43235,
Madera Community Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Madera Community Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Madera Community Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Madera Community Hospital,"CT Scan, Pelvis, with contrast",72193,
Madera Community Hospital,Thyroid Stimulating Hormone,84443,77.66
Madera Community Hospital,"CT Scan, Abdomen, with contrast",74160,
Madera Community Hospital,"Physical Therapy, Evaluation",97161,
Madera Community Hospital,"Physical Therapy, Evaluation",97162,
Madera Community Hospital,"Physical Therapy, Evaluation",97163,
Madera Community Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Madera Community Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Madera Community Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,400.67
Madera Community Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,551.46
Madera Community Hospital,"Emergency Room Visit, Level 4 (high severity without significant threat)",99284,800.69
Madera Community Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,1154.91
Madera Community Hospital,"Outpatient Visit, established patient, 15 minutes",99213,135.06
Madera Community Hospital,Basic Metabolic Panel,80048,117.83
Madera Community Hospital,"Blood Gas Analysis, including 02 saturation",82805,176.88
Madera Community Hospital,"Complete Blood Count, automated",85027,
Madera Community Hospital,"Complete Blood Count, with differential WBC, automated",85025,40.76
Madera Community Hospital,Comprehensive Metabolic Panel,80053,147.49
Madera Community Hospital,"Creatine Kinase (CK), (CPK), Total",82550,35.12
Madera Community Hospital,Lipid Panel,80061,185.75
Madera Community Hospital,Partial Thromboplastin Time,85730,33.97
Madera Community Hospital,Prothrombin Time,85610,30.21
Madera Community Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Madera Community Hospital,"Troponin, Quantitative",84484,110.86
Madera Community Hospital,"Urinalysis, without microscopy",81003,14.22
Madera Community Hospital,"Urinalysis, with microscopy",81001,23.4
Madera Community Hospital,"CT Scan, Head or Brain, without contrast",70450,1501.58
Madera Community Hospital,Laparoscopic Cholecystectomy,47562,
Madera Community Hospital,"Colonoscopy, diagnostic",45378,
Madera Community Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Madera Community Hospital,  OB Non-Stress Test,59025,328.43
Madera Community Hospital,"  X-Ray, Chest, Single View",71045,174.02
Madera Community Hospital,"  X-Ray, Chest, with contrast",71260,1736.41
Madera Community Hospital,"  X-Ray, Shoulder, Complete, 2 view",73030,186.52
Madera Community Hospital,"  CT Scan, Angiography, Chest",71275,1166.76
Madera Community Hospital,"  Ultrasound, Pelvic",76856,346.71
Madera Community Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Mammoth Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Mammoth Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Mammoth Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Mammoth Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Mammoth Hospital,"Colonoscopy, with biopsy",45380,
Mammoth Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Mammoth Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Mammoth Hospital,"Physical Therapy, Evaluation",97163,145
Mammoth Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Mammoth Hospital,"Physical Therapy, Therapeutic Exercise",97110,
Mammoth Hospital,"Colonoscopy, diagnostic",45378,3050
Mammoth Hospital,"Physical Therapy, Evaluation",97162,145
Mammoth Hospital,"Endoscopy, Upper GI, diagnostic",43235,2755
Mammoth Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Mammoth Hospital,"Physical Therapy, Gait Training",97116,
Mammoth Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Mammoth Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Mammoth Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Mammoth Hospital,"Urinalysis, with microscopy",81001,84
Mammoth Hospital,"Urinalysis, with microscopy",81000,84
Mammoth Hospital,"Urinalysis, without microscopy",81003,48
Mammoth Hospital,"Urinalysis, without microscopy",81002,48
Mammoth Hospital,Laparoscopic Cholecystectomy,47562,
Mammoth Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Mammoth Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Mammoth Hospital,"Physical Therapy, Evaluation",97161,145
Mammoth Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,
Mammoth Hospital,Carpal Tunnel Surgery,64721,
Mammoth Hospital,"Echocardiography, Transthoracic, complete",93307,
Mammoth Hospital,"Outpatient Visit, established patient, 15 minutes",99213,138
Mammoth Hospital,Basic Metabolic Panel,80048,118
Mammoth Hospital,"Blood Gas Analysis, including 02 saturation",82805,
Mammoth Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,480
Mammoth Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,261
Mammoth Hospital,"Electrocardiogram, routine, with interpretation and report",93000,154
Mammoth Hospital,"Complete Blood Count, automated",85027,74
Mammoth Hospital,"Complete Blood Count, with differential WBC, automated",85025,67
Mammoth Hospital,Comprehensive Metabolic Panel,80053,105
Mammoth Hospital,"Creatine Kinase (CK), (CPK), Total",82550,136
Mammoth Hospital,Lipid Panel,80061,122
Mammoth Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,
Mammoth Hospital,Prothrombin Time,85610,95
Mammoth Hospital,Partial Thromboplastin Time,85730,
Mammoth Hospital,"Troponin, Quantitative",84484,136
Mammoth Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Mammoth Hospital,"X-Ray, Chest, two views",71046,394
Mammoth Hospital,"X-Ray, Lower Back, minimum four views",72110,583
Mammoth Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,881
Mammoth Hospital,"Ultrasound, Abdomen, Complete",76700,807
Mammoth Hospital,Thyroid Stimulating Hormone,84443,101
Mammoth Hospital,"MRI, Brain, without contrast, followed by contrast",70553,
Mammoth Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1109
Mammoth Hospital,"CT Scan, Pelvis, with contrast",72193,
Mammoth Hospital,"CT Scan, Head or Brain, without contrast",70450,2340
Mammoth Hospital,"CT Scan, Abdomen, with contrast",74160,
Mammoth Hospital,"Mammography, Screening, Bilateral",77067,336
Marian Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640, 
Marian Medical Center,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Marian Medical Center,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Marian Medical Center,Carpal Tunnel Surgery,64721,
Marian Medical Center,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Marian Medical Center,"Echocardiography, Transthoracic, complete, without Doppler",93307,
Marian Medical Center,"Electrocardiogram, routine, with interpretation and report",93000,
Marian Medical Center,"Physical Therapy, Gait Training",97116,
Marian Medical Center,"Colonoscopy, with lesion removal, by snare technique",45385,
Marian Medical Center,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Marian Medical Center,"Hernia Repair, Inguinal, 5 years and older",49505,
Marian Medical Center,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Marian Medical Center,"Endoscopy, Upper GI, diagnostic",43235,
Marian Medical Center,"Endoscopy, Upper GI, with biopsy",43239,
Marian Medical Center,"Discission, secondary membranous cataract, laser surgery",66821,
Marian Medical Center,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Marian Medical Center,"Colonoscopy, with biopsy",45380,
Marian Medical Center,"Colonoscopy, diagnostic",45378,
Marian Medical Center,Laparoscopic Cholecystectomy,47562,
Marian Medical Center,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Marian Medical Center,"Complete Blood Count, with differential WBC, automated",85025,424
Marian Medical Center,"Urinalysis, without microscopy",81002,260
Marian Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Marian Medical Center,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Marian Medical Center,"Physical Therapy, Evaluation",97163,
Marian Medical Center,"Physical Therapy, Evaluation",97162,
Marian Medical Center,"Physical Therapy, Evaluation",97161,
Marian Medical Center,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Marian Medical Center,"X-Ray, Chest, two views",71046,933
Marian Medical Center,"Urinalysis, with microscopy",81001,391
Marian Medical Center,"Urinalysis, with microscopy",81000,391
Marian Medical Center,"Urinalysis, without microscopy",81003,260
Marian Medical Center,"Urinalysis, with microscopy",81001,260
Marian Medical Center,"Urinalysis, with microscopy",81000,260
Marian Medical Center,"X-Ray, Lower Back, minimum four views",72110,1090
Marian Medical Center,"Physical Therapy, Therapeutic Exercise",97110,
Marian Medical Center,"Ultrasound, Abdomen, Complete",76700,2129
Marian Medical Center,"Inhalation Treatment, pressurized or nonpressurized",94640,472
Marian Medical Center,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1529
Marian Medical Center,"Complete Blood Count, automated",85027,245
Marian Medical Center,"Blood Gas Analysis, including 02 saturation",82805,503
Marian Medical Center,Basic Metabolic Panel,80048,724
Marian Medical Center,"Outpatient Visit, established patient, 15 minutes",99213,369
Marian Medical Center,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,2554
Marian Medical Center,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,1740
Marian Medical Center,"Emergency Room Visit, Level 3 (moderate severity)",99283,1332
Marian Medical Center,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,812
Marian Medical Center,"Creatine Kinase (CK), (CPK), Total",82550,372
Marian Medical Center,Lipid Panel,80061,1075
Marian Medical Center,Prothrombin Time,85610,139
Marian Medical Center,Thyroid Stimulating Hormone,84443,301
Marian Medical Center,"Troponin, Quantitative",84484,612
Marian Medical Center,"CT Scan, Abdomen, with contrast",74160,4625
Marian Medical Center,"CT Scan, Head or Brain, without contrast",70450,2629
Marian Medical Center,"CT Scan, Pelvis, with contrast",72193,4921
Marian Medical Center,"Mammography, Screening, Bilateral",77067,834
Marian Medical Center,"MRI, Brain, without contrast, followed by contrast",70553,9218
Marian Medical Center,Partial Thromboplastin Time,85730,228
Marian Medical Center,Comprehensive Metabolic Panel,80053,995
Marin General Hospital,"Mammography, Screening, Bilateral",77067,882
Marin General Hospital,"Urinalysis, with microscopy",81001,
Marin General Hospital,"Urinalysis, without microscopy",81002,28
Marin General Hospital,"Urinalysis, without microscopy",81003,28
Marin General Hospital,Prothrombin Time,85610,48
Marin General Hospital,Thyroid Stimulating Hormone,84443,143
Marin General Hospital,"Troponin, Quantitative",84484,
Marin General Hospital,"CT Scan, Abdomen, with contrast",74160,6284.5
Marin General Hospital,"CT Scan, Head or Brain, without contrast",70450,6825
Marin General Hospital,"CT Scan, Pelvis, with contrast",72193,6064
Marin General Hospital,"Creatine Kinase (CK), (CPK), Total",82550,74
Marin General Hospital,Comprehensive Metabolic Panel,80053,101
Marin General Hospital,"Urinalysis, with microscopy",81000,
Marin General Hospital,"Complete Blood Count, with differential WBC, automated",85025,69
Marin General Hospital,"Ultrasound, OB, 14 weeks or more, transabdominal",76805,1102.5
Marin General Hospital,"Blood Gas Analysis, including 02 saturation",82805,
Marin General Hospital,Basic Metabolic Panel,80048,73
Marin General Hospital,"Outpatient Visit, established patient, 15 minutes",99213,
Marin General Hospital,"Emergency Room Visit, Level 4 (high severity with significant threat)",99285,
Marin General Hospital,"Emergency Room Visit, Level 4 (high severity without signigicant threat)",99284,4922.5
Marin General Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,2547
Marin General Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,1184.5
Marin General Hospital,"Complete Blood Count, automated",85027,40
Marin General Hospital,"MRI, Brain, without contrast, followed by contrast",70553,
Marin General Hospital,"X-Ray, Lower Back, minimum four views",72110,1855
Marin General Hospital,Partial Thromboplastin Time,85730,72.5
Marin General Hospital,"Colonoscopy, with lesion removal, by snare technique",45385,
Marin General Hospital,"Colonoscopy, with biopsy",45380,
Marin General Hospital,"Colonoscopy, diagnostic",45378,
Marin General Hospital,"Cataract Removal with Insertion of Intraocular Lens, 1 Stage",66984,
Marin General Hospital,Carpal Tunnel Surgery,64721,
Marin General Hospital,"Arthroscopy, Shoulder, with partial acromioplasty",29826,
Marin General Hospital,"Discission, secondary membranous cataract, laser surgery",66821,
Marin General Hospital,"Arthroscopy, Knee, with meniscectomy (medial or lateral)",29881,
Marin General Hospital,"Physical Therapy, Gait Training",97116,165.5
Marin General Hospital,"Inhalation Treatment, pressurized or nonpressurized",94640,666.5
Marin General Hospital,"Electrocardiogram, routine, with interpretation and report",93000,
Marin General Hospital,"Echocardiography, Transthoracic, complete, without Doppler",93307,
Marin General Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Marin General Hospital,"X-Ray, Chest, two views",71046,670
Marin General Hospital,"Physical Therapy, Therapeutic Exercise",97110,165.5
Marin General Hospital,"Ultrasound, Abdomen, Complete",76700,2494
Marin General Hospital,"Endoscopy, Upper GI, with biopsy",43239,
Marin General Hospital,"Excision, Breast Lesion, without preoperative radiological marker",19120,
Marin General Hospital,"Physical Therapy, Evaluation",97161,198.5
Marin General Hospital,"Physical Therapy, Evaluation",97162,198.5
Marin General Hospital,"Physical Therapy, Evaluation",97163,198.5
Marin General Hospital,"Endoscopy, Upper GI, diagnostic",43235,
Marin General Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,
Marin General Hospital,Lipid Panel,80061,131
Marin General Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Marin General Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Marin General Hospital,Laparoscopic Cholecystectomy,47562,
Marin General Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,
Marin General Hospital,"Hernia Repair, Inguinal, 5 years and older",49505,
Marin General Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62323,
Marina Del Rey Hospital,"Urinalysis, without microscopy",81003,29.15
Marina Del Rey Hospital,"Urinalysis, with microscopy",81000,280.08
Marina Del Rey Hospital,"Urinalysis, with microscopy",81001,280.08
Marina Del Rey Hospital,"Urinalysis, without microscopy",81002,29.15
Marina Del Rey Hospital,"Injection, Diagnostic or Therapeutic substance, epidural, lumbar",62322,2285.76
Marina Del Rey Hospital,"Tympanostomy (insert ventilating  tube, general anesthesia)",69436,
Marina Del Rey Hospital,"Tonsillectomy with Adenoidectomy, less than 12 years old",42820,
Marina Del Rey Hospital,"Ultrasound, Abdomen, Complete",76700,2011.85
Marina Del Rey Hospital,"MRI, Head or Brain, without contrast, followed by contrast",70553,5187.5
Marina Del Rey Hospital,"Mammography, Screening, Bilateral",77067,540.83
Marina Del Rey Hospital,"CT Scan, Pelvis, with contrast",72193,4001.14
Marina Del Rey Hospital,"CT Scan, Head or Brain, without contrast",70450,4045.12
Marina Del Rey Hospital,"CT Scan, Abdomen, with contrast",74160,4001.14
Marina Del Rey Hospital,"Troponin, Quantitative",84484,410.62
Marina Del Rey Hospital,Thyroid Stimulating Hormone,84443,380.21
Marina Del Rey Hospital,Prothrombin Time,85610,112.79
Marina Del Rey Hospital,"X-Ray, Chest, two views; 71020 deleted; replaced code 71046",71046,980
Marina Del Rey Hospital,Partial Thromboplastin Time,85730,145.75
Marina Del Rey Hospital,"Creatine Kinase (CK), (CPK), Total",82550,390.34
Marina Del Rey Hospital,Comprehensive Metabolic Panel,80053,449.78
Marina Del Rey Hospital,"Complete Blood Count, with differential WBC, automated",85025,348.52
Marina Del Rey Hospital,"Complete Blood Count, automated",85027,147.01
Marina Del Rey Hospital,"Blood Gas Analysis, including 02 saturation",82805,570.31
Marina Del Rey Hospital,Basic Metabolic Panel,80048,225.72
Marina Del Rey Hospital,"Outpatient Visit, established patient, 15 minutes",99213,302.02
Marina Del Rey Hospital,"Emergency Room Visit, Level 4 (high severity)",99284,2240.02
Marina Del Rey Hospital,"Emergency Room Visit, Level 3 (moderate severity)",99283,1400.32
Marina Del Rey Hospital,"Emergency Room Visit, Level 2 (low to moderate severity)",99282,874.59
Marina Del Rey Hospital,Lipid Panel,80061,214.18
Marina Del Rey Hospital,"Cardiac Catheterization, Left Heart, percutaneous ",93452,
Marina Del Rey Hospital,"X-Ray, Lower Back, four views",72110,1458.14
Marina Del Rey Hospital,"Colonoscopy, diagnostic",45378,
Marina Del Rey Hospital,Laparoscopic Cholecystectomy,47562,
Marina Del Rey Hospital,"Injection, Anesthetic or Steroid, transforaminal epidural, lumbar",64483,2879.92
