facility_desc,site_address1,site_address2,site_city,site_zip,site_x_coordinate,site_y_coordinate,oshpd_id,license_type_desc,license_category_desc,license_number,facility_level_desc,er_service_level_desc,licensed_beds,facility_status_desc,financial_facility_count,consolidated_facility_desc_pipe,consolidated_facility_desc_comma,period_begin_date,period_end_date,net_pat_rev_medicare_traditional_ip,net_pat_rev_medicare_managed_ip,net_pat_rev_medi_cal_traditional_ip,net_pat_rev_medi_cal_managed_ip,net_pat_rev_county_indigent_traditional_ip,net_pat_rev_county_indigent_managed_ip,net_pat_rev_third_party_traditional_ip,net_pat_rev_third_party_managed_ip,net_pat_rev_other_indigent_ip,net_pat_rev_other_payer_ip,net_pat_rev_total_ip,net_pat_rev_medicare_traditional_op,net_pat_rev_medicare_managed_op,net_pat_rev_medi_cal_traditional_op,net_pat_rev_medi_cal_managed_op,net_pat_rev_county_indigent_traditional_op,net_pat_rev_county_indigent_managed_op,net_pat_rev_third_party_traditional_op,net_pat_rev_third_party_managed_op,net_pat_rev_other_indigent_op,net_pat_rev_other_payer_op,net_pat_rev_total_op,payer_mix_medicare_traditional_ip,payer_mix_medicare_traditional_ip_state,payer_mix_medicare_managed_ip,payer_mix_medicare_managed_ip_state,payer_mix_medi_cal_traditional_ip,payer_mix_medi_cal_traditional_ip_state,payer_mix_medi_cal_managed_ip,payer_mix_medi_cal_managed_ip_state,payer_mix_county_indigent_traditional_ip,payer_mix_county_indigent_traditional_ip_state,payer_mix_county_indigent_managed_ip,payer_mix_county_indigent_managed_ip_state,payer_mix_third_party_traditional_ip,payer_mix_third_party_traditional_ip_state,payer_mix_third_party_managed_ip,payer_mix_third_party_managed_ip_state,payer_mix_other_indigent_ip,payer_mix_other_indigent_ip_state,payer_mix_other_payer_ip,payer_mix_other_payer_ip_state,payer_mix_medicare_traditional_op,payer_mix_medicare_traditional_op_state,payer_mix_medicare_managed_op,payer_mix_medicare_managed_op_state,payer_mix_medi_cal_traditional_op,payer_mix_medi_cal_traditional_op_state,payer_mix_medi_cal_managed_op,payer_mix_medi_cal_managed_op_state,payer_mix_county_indigent_traditional_op,payer_mix_county_indigent_traditional_op_state,payer_mix_county_indigent_managed_op,payer_mix_county_indigent_managed_op_state,payer_mix_third_party_traditional_op,payer_mix_third_party_traditional_op_state,payer_mix_third_party_managed_op,payer_mix_third_party_managed_op_state,payer_mix_other_indigent_op,payer_mix_other_indigent_op_state,payer_mix_other_payer_op,payer_mix_other_payer_op_state,avg_stay_medicare_traditional,avg_stay_medicare_managed,avg_stay_medi_cal_traditional,avg_stay_medi_cal_managed,avg_stay_county_indigent_traditional,avg_stay_county_indigent_managed,avg_stay_third_party_traditional,avg_stay_third_party_managed,avg_stay_other_indigent_total,avg_stay_other_payer_total,avg_stay_total,active_projects,active_project_costs,active_projects_state,active_project_costs_state,spc_1,spc_2,spc_3,spc_4,spc_5,spc_1_state,spc_2_state,spc_3_state,spc_4_state,spc_5_state,sysdate
"ARBOR VITAE HOSPICE CARE, INC.",1780 TOWN AND COUNTRY DR,STE 106 ,NORCO,92860,-117.55957,33.92813,406334704,Home Health Agency/Hospice,Hospice,550002435,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"A & A HOSPICE, INC.",6400 LAUREL CANYON BLVD,STE 305,NORTH HOLLYWOOD,91606,-118.39649,34.187,406198049,Home Health Agency/Hospice,Hospice,550002313,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"VALLEY VILLAGE HOSPICE, INC.",12722 RIVERSIDE DR,SUITE 105,VALLEY VILLAGE,91607,-118.4103,34.15737,406198050,Home Health Agency/Hospice,Hospice,550002561,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"EMMANUEL HEALTHCARE, INC.",4510 PERALTA BLVD,STE 25,FREMONT,94536,-122.01112,37.55147,406014341,Home Health Agency/Hospice,Home Health Agency,550003004,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
AMERICAN CAREQUEST NORTH BAY,4040 CIVIC CENTER DR,STE 200,SAN RAFAEL,94903,-122.53938,38.00597,406214062,Home Health Agency/Hospice,Hospice,550003024,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
AFFINITY HOSPICE LLC,5767 UPLANDER WAY,STE 208,CULVER CITY,90230,-118.38468,33.98651,406364519,Home Health Agency/Hospice,Hospice,550003029,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
UNI CARE HOSPICE INC,1510 S ESCONDIDO BLVD,STE 104,ESCONDIDIO,92025,-117.07512,33.10752,406374526,Home Health Agency/Hospice,Hospice,550003028,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ALWAYS TFY HOSPICE, INC.",9064 PULSAR CT,STE 108,CORONA,92883,-117.50087,33.79849,406334705,Home Health Agency/Hospice,Hospice,550002238,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"SERENITY HOSPICE CARE PROVIDER, INC.",2139 TAPO ST,STE 212,SIMI VALLEY,93063,-118.70898,34.27394,406564264,Home Health Agency/Hospice,Hospice,550003031,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HUMAN TOUCH HOME HEALTH CARE AGENCY,44818 FERN AVE,STE 101,LANCASTER,93535,-118.14431,34.69609,406198055,Home Health Agency/Hospice,Home Health Agency,550002726,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"CENTRAL COAST VNA AND HOSPICE, INC. - PARENT",5 LOWER RAGSDALE DR,,MONTEREY,93940,-121.81636,36.57543,406270827,Home Health Agency/Hospice,Home Health Agency,70000067,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"EMIZA HOME HEALTH CARE, INC.",14549 ARCHWOOD ST,STE 311,VAN NUYS,91405,-118.45053,34.19298,406190343,Home Health Agency/Hospice,Home Health Agency,550004135,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"SERENE HOME HEALTHCARE, INC.",4340 ALMADEN EXPY,STE 204 - 206,SAN JOSE,95118,-121.876801,37.2646,406434232,Home Health Agency/Hospice,Home Health Agency,550001989,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"SWEET ANGELS HOME HEALTH PROVIDERS, INC.",3443 RAMONA AVE,STE 23,SACRAMENTO,95826,-121.41268,38.54319,406344183,Home Health Agency/Hospice,Home Health Agency,550001929,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
TRINITYROSE HOME HEALTH CARE,9350 FLAIR DR,STE 108,EL MONTE,91731,-118.06486,34.07193,406197678,Home Health Agency/Hospice,Home Health Agency,550001911,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"AAA NURSING SERVICES, INC.",22148 SHERMAN WAY,STE 203,CANOGA PARK,91303,-118.60982,34.20094,406197679,Home Health Agency/Hospice,Home Health Agency,550001900,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"GEMS HOME HEALTH CARE SERVICES, INC.",535 N BRAND BLVD,STE 290,GLENDALE,91203,-118.25513,34.1543,406197680,Home Health Agency/Hospice,Home Health Agency,550001898,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"PROMESA HOME CARE, INC.",3978 BROCKTON AVE.,,RIVERSIDE,92501,-117.38026,33.98242,406334642,Home Health Agency/Hospice,Home Health Agency,550001804,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ST. PATRICK HOME HEALTH PROVIDERS, INC.",25 N 14TH ST,STE 660,SAN JOSE,95112,-121.877931,37.34307,406434233,Home Health Agency/Hospice,Home Health Agency,550002008,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ADVANTAGE HEALTH SYSTEMS,9663 TIERRA GRANDE ST,STE 204,SAN DIEGO,92126,-117.121511,32.89499,406374468,Home Health Agency/Hospice,Hospice,550001984,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
INTERIM HEALTHCARE HOSPICE,2233 WATT AVE,STE 330,SACRAMENTO,95825,-121.38311,38.60481,406344184,Home Health Agency/Hospice,Hospice,550001955,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"CITY OF DREAMS HOME HEALTH CARE, INC.",5924 E LOS ANGELES AVE,STE P,SIMI VALLEY,93063,-118.67633,34.27173,406564231,Home Health Agency/Hospice,Home Health Agency,550001954,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CARE PLUS HOSPICE,22931 TRITON WAY,STE 131,LAGUNA HILLS,92653,-117.732987,33.629116,406304505,Home Health Agency/Hospice,Hospice,550001967,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
TEAM SELECT HOME CARE,25401 CABOT RD,STE 117,LAGUNA HILLS,92653,-117.675026,33.593745,406304506,Home Health Agency/Hospice,Home Health Agency,550001966,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"PRIMARY HOSPICE CARE, INC",7127 LAUREL CANYON BLVD,,NORTH HOLLYWOOD,91605,-118.396863,34.200465,406197681,Home Health Agency/Hospice,Hospice,550001937,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ALTA HOME HEALTH, INC.",4605 LANKERSHIM BLVD,STE 718,NORTH HOLLYWOOD,91602,-118.36832,34.15405,406197682,Home Health Agency/Hospice,Home Health Agency,550001936,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"NOBLE HOME HEALTH, INC",2609 W WYOMING AVE,STE B,BURBANK,91505,-118.34014,34.17852,406197683,Home Health Agency/Hospice,Home Health Agency,550001935,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
FAITH IN ANGELS HOSPICE,120 S VICTORY BLVD,STE 203,BURBANK,91502,-118.31626,34.17306,406197684,Home Health Agency/Hospice,Hospice,550001933,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CALIFORNIA HOME HEALTH,217 W ALAMEDA AVE,STE 202,BURBANK,91502,-118.30595,34.16871,406197685,Home Health Agency/Hospice,Home Health Agency,550001931,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"A&G HOME HEALTH CARE, INC.",6005 VINELAND AVE,STE 206,NORTH HOLLYWOOD,91606,-118.37034,34.17962,406190365,Home Health Agency/Hospice,Home Health Agency,550004118,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"PROMED CARE HOME HEALTH, INC.",6260 LAUREL CANYON BLVD,STE 203,NORTH HOLLYWOOD,91606,-118.39651,34.18464,406197687,Home Health Agency/Hospice,Home Health Agency,550001945,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ANGEL'S SMILE HOSPICE, INC.",1241 S GLENDALE AVE,STE 305,GLENDALE,91205,-118.25247,34.13066,406197688,Home Health Agency/Hospice,Hospice,550001947,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
TEODORA HEALTHCARE,7121 MAGNOLIA AVE,STE D,RIVERSIDE,92504,-117.40277,33.9455,406334645,Home Health Agency/Hospice,Home Health Agency,550001800,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HARMONY HOME HEALTH,1292 KIFER RD,STE 807,SUNNYVALE,94086,-121.98965,37.37398,406434236,Home Health Agency/Hospice,Home Health Agency,550001965,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"DOCTOR'S PALLIATIVE CARE, INC.",847 N HOLLYWOOD WAY,STE 206,BURBANK,91505,-118.34604,34.16584,406197689,Home Health Agency/Hospice,Hospice,550001938,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"WESTERN CARE HOSPICE, INC.",14545 VICTORY BLVD,STE 505,VAN NUYS,91411,-118.450296,34.186713,406197690,Home Health Agency/Hospice,Hospice,550001939,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
USM HOSPICE,16159 COHASSET ST,STE 201,VAN NUYS,91406,-118.48562,34.20673,406197691,Home Health Agency/Hospice,Hospice,550001897,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"KMD HOSPICE, INC.",11631 VICTORY BLVD,STE 201,NORTH HOLLYWOOD,91606,-118.3857,34.1867,406197693,Home Health Agency/Hospice,Hospice,550001909,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HOLLYWOOD HOSPICE,4640 LANKERSHIM BLVD,STE110,NORTH HOLLYWOOD,91602,-118.36861,34.15504,406197694,Home Health Agency/Hospice,Hospice,550001914,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
ST. FRANCIS PALLIATIVE CARE,700 N BRAND BLVD,STE 570,GLENDALE,91203,-118.25494,34.15708,406197695,Home Health Agency/Hospice,Hospice,550001910,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"GREEN VALLEY HOSPICE, INC.",3009 DOUGLAS BLVD,STE 160,ROSEVILLE,95661,-121.23278,38.744136,406314049,Home Health Agency/Hospice,Hospice,550001917,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"HOSPICE OF ST. JOHN, INC.",530 S GLENOAKS BLVD,STE 206,BURBANK,91502,-118.30169,34.17991,406197697,Home Health Agency/Hospice,Hospice,550001906,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
RELIANCE HOSPICE AND PALLIATIVE CARE,19750 S. VERMONT AVE,STE 160,TORRANCE,90502,-118.29047,33.85122,406197698,Home Health Agency/Hospice,Hospice,550001912,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"PRIORITY HOSPICE CARE, INC.",410 W BADILLO ST,STE 200,COVINA,91723,-117.89711,34.08628,406197699,Home Health Agency/Hospice,Hospice,550001907,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"PERSPECTIVE HOME HEALTH CARE, INC.",415 E HARVARD ST,STE 204,GLENDALE,91205,-118.25061,34.14474,406190383,Home Health Agency/Hospice,Home Health Agency,550004009,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ADVANCED HEALTH CARE PROVIDERS, INC.",17620 SHERMAN WAY,STE 215,VAN NUYS,91406,-118.517142,34.201057,406197703,Home Health Agency/Hospice,Home Health Agency,550001944,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"IN THE ARMS OF GRACE HOSPICE, INC.",3111 LOS FELIZ BLVD,STE 107,LOS ANGELES,90039,-118.26696,34.12433,406197704,Home Health Agency/Hospice,Hospice,550001986,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"EVE HOSPICE, INC.",16921 PARTHENIA ST,STE 303,NORTHRIDGE,91343,-118.50101,34.22852,406197705,Home Health Agency/Hospice,Hospice,550001998,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"VICTORIA ONE HOSPICE, INC.",510 E FOOTHILL BLVD,STE 106,SAN DIMAS,91773,-117.79796,34.12306,406197706,Home Health Agency/Hospice,Hospice,550001995,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
HOLY FAMILY HOSPICE,7250 BEVERLY BLVD,STE 203,LOS ANGELES,90036,-118.34763,34.07614,406197708,Home Health Agency/Hospice,Hospice,550001992,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"ACE HOSPICE CARE, INC.",4515 EAGLE ROCK BLVD,STE 151,LOS ANGELES,90041,-118.219066,34.127076,406197709,Home Health Agency/Hospice,Hospice,550001996,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
CAREMAX HOSPICE,1100 E BROADWAY,STE 304,GLENDALE,91205,-118.24171,34.14623,406197710,Home Health Agency/Hospice,Hospice,550001991,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"YOUR CHOICE HOSPICE, INC.",11436 VANOWEN ST,,NORTH HOLLYWOOD ,91605,-118.3804,34.19387,406197711,Home Health Agency/Hospice,Hospice,550001997,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
"MED STAR HOSPICE CARE, INC.",1801 S MYRTLE AVE,STE F,MONROVIA,91016,-118.000913,34.131882,406197712,Home Health Agency/Hospice,Hospice,550002004,Parent Facility,Not Specified,,Open,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,,,,5417,9852285352,,,,,,115,654,377,783,1193,
